epoch_num;training_accuracy;training_loss;validation_accuracy;validation_loss;elrales
1;0.563875;0.677269;0.542;0.687594;NORMAL
2;0.609375;0.660033;0.5255;0.840254;NORMAL
3;0.631375;0.644257;0.5545;0.834812;NORMAL
4;0.650875;0.632358;0.691;0.58702;NORMAL
5;0.673125;0.606235;0.537;1.07481;NORMAL
6;0.685625;0.594696;0.664;0.633256;NORMAL
7;0.705;0.585819;0.56;0.950426;NORMAL
8;0.70875;0.567472;0.7115;0.614447;NORMAL
9;0.721625;0.56253;0.736;0.613016;NORMAL
10;0.739375;0.532799;0.7055;0.735291;NORMAL
11;0.7395;0.533594;0.6335;0.833156;LOSING
12;0.736875;0.538599;0.6775;0.633481;RECOVERY
13;0.750875;0.520106;0.6435;0.786309;NORMAL
14;0.758375;0.502535;0.7275;0.652791;NORMAL
15;0.76725;0.497218;0.731;0.66961;NORMAL
16;0.77375;0.486564;0.6685;0.772807;NORMAL
17;0.770375;0.496679;0.703;0.678461;RECOVERY
18;0.788375;0.463217;0.7275;0.626205;NORMAL
19;0.78925;0.459351;0.7285;0.644387;NORMAL
20;0.786375;0.461372;0.6315;0.948721;LOSING
21;0.7875;0.466036;0.728;0.665216;RECOVERY
22;0.798125;0.444135;0.667;0.80354;NORMAL
23;0.8035;0.441096;0.7415;0.692164;NORMAL
24;0.801625;0.439855;0.651;0.928536;NORMAL
25;0.805375;0.437787;0.676;0.875131;NORMAL
26;0.80475;0.452935;0.69;0.778089;RECOVERY
27;0.8115;0.431561;0.6895;0.792177;NORMAL
28;0.817625;0.427285;0.7125;0.73719;NORMAL
29;0.80875;0.440197;0.731;0.754442;RECOVERY
30;0.81875;0.41773;0.7105;0.767039;NORMAL
31;0.829;0.414667;0.6685;0.916126;NORMAL
32;0.827625;0.397498;0.719;0.780422;NORMAL
