epoch_num;training_accuracy;training_loss;validation_accuracy;validation_loss;elrales
1;0.566875;0.680286;0.551;0.680534;NORMAL
2;0.597625;0.662593;0.6365;0.646323;NORMAL
3;0.62425;0.652626;0.6865;0.598603;NORMAL
4;0.639875;0.640768;0.7065;0.583344;NORMAL
5;0.658;0.625572;0.5395;0.990496;NORMAL
6;0.655;0.618016;0.5815;0.846693;NORMAL
7;0.665625;0.614506;0.6135;0.72319;NORMAL
8;0.684875;0.59811;0.609;0.754245;NORMAL
9;0.698;0.579433;0.727;0.572372;NORMAL
10;0.70875;0.580849;0.7135;0.588954;RECOVERY
11;0.744625;0.517603;0.677;0.706985;NORMAL
12;0.758625;0.509937;0.626;0.842086;NORMAL
13;0.750625;0.51949;0.674;0.653338;RECOVERY
14;0.773625;0.486765;0.6495;0.743366;NORMAL
15;0.774375;0.476854;0.6925;0.674514;NORMAL
16;0.783;0.470717;0.675;0.706252;NORMAL
17;0.78075;0.476377;0.6495;0.787994;RECOVERY
18;0.78525;0.474897;0.6975;0.656587;RECOVERY
19;0.791;0.464686;0.6745;0.695157;NORMAL
20;0.797875;0.460961;0.6995;0.656572;NORMAL
21;0.79775;0.457084;0.6805;0.69803;NORMAL
22;0.804875;0.441681;0.708;0.659738;NORMAL
23;0.797375;0.455338;0.6825;0.701078;RECOVERY
24;0.8075;0.448517;0.702;0.664039;RECOVERY
25;0.804375;0.438814;0.6915;0.68973;NORMAL
26;0.80825;0.440046;0.6855;0.693252;RECOVERY
27;0.8105;0.441187;0.687;0.695035;RECOVERY
28;0.79825;0.452651;0.703;0.662032;RECOVERY
29;0.8055;0.442445;0.693;0.681762;EARLY_STOPPING
