epoch_num;training_accuracy;training_loss;validation_accuracy;validation_loss;elrales
1;0.54775;0.683719;0.616;0.655282;OFF
2;0.587;0.670684;0.55;0.704001;OFF
3;0.602;0.65766;0.6795;0.598319;OFF
4;0.625125;0.651974;0.672;0.607542;OFF
5;0.649375;0.624476;0.646;0.628676;OFF
6;0.66925;0.610047;0.624;0.670911;OFF
7;0.6775;0.600531;0.5485;0.919455;OFF
8;0.690625;0.594782;0.6095;0.743689;OFF
9;0.70725;0.569636;0.6155;0.735831;OFF
10;0.710125;0.563099;0.6285;0.739857;OFF
11;0.72025;0.556135;0.631;0.767034;OFF
12;0.728125;0.539786;0.652;0.681223;OFF
13;0.74675;0.526202;0.6405;0.716691;OFF
14;0.748;0.520182;0.7265;0.598224;OFF
15;0.753;0.50586;0.629;0.800285;OFF
16;0.76625;0.493336;0.649;0.73703;OFF
17;0.77525;0.484074;0.6825;0.671959;OFF
18;0.77975;0.47935;0.7185;0.614853;OFF
19;0.78025;0.472392;0.7005;0.631633;OFF
20;0.779;0.476266;0.6955;0.6352;OFF
21;0.777125;0.463342;0.6805;0.668384;OFF
22;0.771625;0.477653;0.7115;0.614627;OFF
23;0.79525;0.449817;0.7105;0.639092;OFF
24;0.796875;0.453745;0.6645;0.724803;OFF
25;0.795125;0.448615;0.716;0.636857;OFF
