epoch_num;training_accuracy;training_loss;validation_accuracy;validation_loss;elrales
1;0.591625;0.674709;0.6735;0.620181;OFF
2;0.699875;0.575419;0.673;0.609426;OFF
3;0.680625;0.596054;0.667;0.619752;OFF
4;0.6785;0.600534;0.672;0.608558;OFF
5;0.677375;0.595563;0.6655;0.609654;OFF
6;0.690375;0.586581;0.674;0.60973;OFF
7;0.701375;0.574705;0.677;0.607319;OFF
8;0.6985;0.574699;0.677;0.600421;OFF
9;0.699125;0.571131;0.677;0.600864;OFF
10;0.7;0.572054;0.6895;0.602539;OFF
11;0.699125;0.562917;0.702;0.588331;OFF
12;0.7135;0.555741;0.6835;0.592317;OFF
13;0.712375;0.547665;0.702;0.58276;OFF
14;0.711875;0.55116;0.696;0.58451;OFF
15;0.733375;0.531886;0.704;0.588365;OFF
16;0.730625;0.535015;0.704;0.582255;OFF
17;0.719875;0.541107;0.6925;0.586058;OFF
18;0.736375;0.529475;0.707;0.587357;OFF
19;0.739375;0.526771;0.7075;0.592763;OFF
20;0.734375;0.526724;0.706;0.587053;OFF
21;0.73775;0.520053;0.704;0.588504;OFF
22;0.742125;0.510615;0.688;0.595506;OFF
23;0.746875;0.510905;0.706;0.584099;OFF
24;0.748375;0.511049;0.703;0.589823;OFF
25;0.749;0.507916;0.7075;0.5876;OFF
